Stock_Name,Stock_Abundance,Stock_Species,Forecasting_Year,Run_Year,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
GSQ,Escapement,Chinook salmon,2017,1994,9615,NA,NA,NA,NA,NA
,,,,1995,11495,NA,NA,NA,NA,NA
,,,,1996,10378,NA,NA,NA,NA,NA
,,,,1997,11536,NA,NA,NA,NA,NA
,,,,1998,22715,NA,NA,NA,NA,NA
,,,,1999,26783,NA,NA,NA,NA,NA
,,,,2000,35101,NA,NA,NA,NA,NA
,,,,2001,42436,NA,NA,NA,NA,NA
,,,,2002,41022,NA,NA,NA,NA,NA
,,,,2003,40500,NA,NA,NA,NA,NA
,,,,2004,31803,NA,NA,NA,NA,NA
,,,,2005,28490,NA,NA,NA,NA,NA
,,,,2006,50989,NA,NA,NA,NA,NA
,,,,2007,24877,NA,NA,NA,NA,NA
,,,,2008,19392,NA,NA,NA,NA,NA
,,,,2009,31323,NA,NA,NA,NA,NA
,,,,2010,22480,NA,NA,NA,NA,NA
,,,,2011,18751,NA,NA,NA,NA,NA
,,,,2012,42830,NA,NA,NA,NA,NA
,,,,2013,40341,NA,NA,NA,NA,NA
,,,,2014,41418,NA,NA,NA,NA,NA
,,,,2015,37253,NA,NA,NA,NA,NA
,,,,2016,38648,NA,NA,NA,NA,NA
